label,message
ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
ham,"How about clothes, jewelry, and trips?"
ham,Ok... Let u noe when i leave my house.
ham,Yes there were many sweets
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,No shoot me. I'm in the docs waiting room. :/
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
ham,Is that seriously how you spell his name?
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,Please dont say like that. Hi hi hi
ham,"Dear, will call Tmorrow.pls accomodate."
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,Then any special there?
ham,I send the print  outs da.
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATÃ¥ÃS AL!!!!!!!!!
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at Ã¥Â£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
ham,Stupid.its not possible
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,That one week leave i put know that time. Why.
ham,"Sir, i am waiting for your call, once free please call me."
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
ham,"Sorry, I'll call later"
ham,In which place i can get rooms cheap:-)
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just Ã¥Â£1.50 per wk 2 opt out send STOP 08452810071 16
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
ham,No need lar i go engin? Cos my sis at arts today...
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,K:)k:)good:)study well.
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,No..few hours before.went to hair cut .
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,I cant pick the phone right now. Pls send a message
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,"No, but you told me you were going, before you got drunk!"
ham,I uploaded mine to Facebook
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,I'm good. Have you registered to vote?
ham,What is important is that you prevent dehydration by giving her enough fluids
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O Ã¥Â£250 3 WANT Ã¥Â£800
ham,Happy birthday... May all ur dreams come true...
ham,No. But we'll do medical missions to nigeria
ham,WHO ARE YOU SEEING?
ham,Wif my family booking tour package.
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,If I get there before you after your ten billion calls and texts so help me god
ham,I cant pick the phone right now. Pls send a message
ham,"I wake up long ago already... Dunno, what other thing?"
ham,Jus came back fr lunch wif my sis only. U leh?
ham,You best watch what you say cause I get drunk as a motherfucker
ham,Wot is u up 2 then bitch?
ham,I place all ur points on e cultures module already.
spam,FREE entry into our Ã¥Â£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,Oh yah... We never cancel leh... Haha 
ham,Yes i will be there. Glad you made it.
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,"Just sent you an email ÂÃÃ to an address with incomm in it, is that right?"
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
ham,Where are you lover ? I need you ...
ham,"Ok, be careful ! Don't text and drive !"
ham,Minimum walk is 3miles a day.
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
ham,"Just dropped em off, omw back now"
ham,"Im in inperialmusic listening2the weirdest track ever byÃ¥Ãleafcutter johnÃ¥Ã-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Lol enjoy role playing much?
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
ham,I love you both too :-)
ham,Were trying to find a Chinese food place around here
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
ham,"Sorry, I'll call later"
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
spam,"Last Chance! Claim ur Ã¥Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Ã¥Â£3.00 Sub. 16"
ham,Good morning pookie pie! Lol hope I didn't wake u up
ham,Get ready for  &lt;#&gt;  inches of pleasure...
ham,"Sorry, I'll call later  &lt;#&gt; mins"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,Wat r u doing now?
ham,Haf u found him? I feel so stupid da v cam was working.
ham,Huh means computational science... Y they like dat one push here n there...
ham,No need to buy lunch for me.. I eat maggi mee..
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,Pls pls find out from aunt nike.
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
spam,"Today's Offer! Claim ur Ã¥Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Ã¥Â£3.00 Sub. 16 . Unsub reply X"
ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
ham,One small prestige problem now.
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,"Aight, let me know when you're gonna be around usf"
spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
ham,"It's wylie, you in tampa or sarasota?"
ham,I dont know oh. Hopefully this month.
ham,Re your call; You didn't see my facebook huh?
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
spam,WIN a year supply of CDs 4 a store of ur choice worth Ã¥Â£500 & enter our Ã¥Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Watching telugu movie..wat abt u?
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,"Bill, as in: Are there any letters for me. iÂÃÂªm expecting one from orange that isnÂÃÂªt a bill but may still say orange on it."
ham,I just really need shit before tomorrow and I know you won't be awake before like 6
ham,"Come to mu, we're sorting out our narcotics situation"
ham,Surly ill give it to you:-) while coming to review.
ham,Those were my exact intentions
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
ham,"Hurry up, I've been weed-deficient for like three days"
ham,Mum not going robinson already.
ham,"Aight, we'll head out in a few"
ham,After completed degree. There is no use in joining finance.
ham,Yar else i'll thk of all sorts of funny things.
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
ham,No da if you run that it activate the full version da.
ham,Simply sitting and watching match in office..
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,"That's good, because I need drugs"
ham,... Are you in the pub?
ham,So u gonna get deus ex?
ham,Ofcourse I also upload some songs
ham,Hi. Hope you had a good day. Have a better night.
ham,Doing project w frens lor. 
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham,Audrie lousy autocorrect
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
ham,Double eviction this week - Spiral and Michael and good riddance to them!
ham,In that case I guess I'll see you at campus lodge
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Ok that's great thanx a lot.
ham,Finish liao... U?
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,Lol they were mad at first but then they woke up and gave in.
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,Ugh fuck it I'm resubbing to eve
ham,Yup... Ok i go home look at the timings then i msg Ã_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,If we win its really no 1 side for long time.
ham,Just sleeping..and surfing
ham,At 7 we will go ok na.
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,"Dizzamn, aight I'll ask my suitemates when I get back"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,I am late. I will be there at
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,"No, I was trying it all weekend ;V"
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,When are you guys leaving?
ham,And now electricity just went out fml.
ham,Good morning princess! Have a great day!
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,ÃÃ ready then call me...
ham,"I'm in a meeting, call me later at"
ham,Loosu go to hospital. De dont let it careless.
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,Yes:)sura in sun tv.:)lol.
ham,Lol for real. She told my dad I have cancer
ham,\Hey j! r u feeling any better
ham,So do you have samus shoulders yet
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
ham,:-( sad puppy noise
ham,I will see in half an hour
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,I dont want to hear philosophy. Just say what happen
ham,"I don't think I can get away for a trek that long with family in town, sorry"
spam,You have 1 new message. Call 0207-083-6089
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,Good Morning plz call me sir
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
spam,XMAS iscoming & ur awarded either Ã¥Â£500 CD gift vouchers & free entry 2 r Ã¥Â£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,Have you started in skye
ham,"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So"
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
ham,Yup next stop.
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,Merry christmas to u too annie!
ham,Yes..gauti and sehwag out of odi series.
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
ham,Thank you baby! I cant wait to taste the real thing...
ham,Then we gotta do it after that
ham,"that would be good ÂÃ_ I'll phone you tomo lunchtime, shall I, to organise something?"
ham,Well welp is sort of a semiobscure internet thing
ham,Ok.
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
ham,I'm going 2 orchard now laready me reaching soon. U reaching?
ham,When you came to hostel.
ham,No pic. Please re-send.
ham,Great. Have a safe trip. Dont panic surrender all.
ham,You know what hook up means right?
